example_id                                                                         | status | run_time        |
./spec/controllers/account/admin/companies_controller_spec.rb[1:3:1]               | passed | 0.17949 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:4:1:1]             | passed | 0.20419 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:4:1:2]             | passed | 0.18424 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:4:2:1]             | passed | 0.1975 seconds  |
./spec/controllers/account/admin/companies_controller_spec.rb[1:5:1]               | passed | 0.1755 seconds  |
./spec/controllers/account/admin/companies_controller_spec.rb[1:5:2]               | passed | 0.1792 seconds  |
./spec/controllers/account/admin/companies_controller_spec.rb[1:6:1:1]             | passed | 0.19921 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:6:1:2]             | passed | 0.17994 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:6:1:3]             | passed | 0.22177 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:6:1:4]             | passed | 0.18645 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:6:2:1]             | passed | 0.21555 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:7:1]               | passed | 0.22392 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:8:1]               | passed | 0.15715 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:8:2]               | passed | 0.18095 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:9:1:1]             | passed | 4.74 seconds    |
./spec/controllers/account/admin/companies_controller_spec.rb[1:9:1:2]             | passed | 4.51 seconds    |
./spec/controllers/account/admin/companies_controller_spec.rb[1:9:1:3]             | passed | 4.5 seconds     |
./spec/controllers/account/admin/companies_controller_spec.rb[1:9:1:4]             | passed | 4.5 seconds     |
./spec/controllers/account/admin/companies_controller_spec.rb[1:9:2:1]             | passed | 0.17348 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:9:2:2]             | passed | 0.17561 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:9:2:3]             | passed | 0.24725 seconds |
./spec/controllers/account/admin/companies_controller_spec.rb[1:9:2:4]             | passed | 0.23533 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:1:1]                   | passed | 0.34624 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:2:1]                   | passed | 0.27267 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:3:1]                   | passed | 0.30744 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:4:1:1]                 | passed | 0.17316 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:4:1:2]                 | passed | 0.15443 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:4:2:1]                 | passed | 0.18965 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:5:1]                   | passed | 0.23375 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:6:1:1]                 | passed | 0.17166 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:6:1:2]                 | passed | 0.1847 seconds  |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:6:2:1]                 | passed | 0.28457 seconds |
./spec/controllers/account/admin/osbbs_controller_spec.rb[1:7:1]                   | passed | 0.15893 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:1:1]                | passed | 0.16311 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:1:2]                | passed | 0.17107 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:2:1:1]              | passed | 0.28982 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:2:1:2]              | passed | 0.26135 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:3:1]                | passed | 0.17936 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:3:2]                | passed | 0.17201 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:4:1]                | passed | 0.15916 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:4:2]                | passed | 0.16666 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:5:1]                | passed | 0.14617 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:5:2]                | passed | 0.15903 seconds |
./spec/controllers/account/admin/payments_controller_spec.rb[1:5:3]                | passed | 0.15365 seconds |
./spec/controllers/account/admin/users_controller_spec.rb[1:1:1]                   | passed | 0.16577 seconds |
./spec/controllers/account/admin/users_controller_spec.rb[1:2:1]                   | passed | 0.16432 seconds |
./spec/controllers/account/meter_readings_controller_spec.rb[1:1:1]                | passed | 0.33617 seconds |
./spec/controllers/account/meter_readings_controller_spec.rb[1:1:2]                | passed | 0.41472 seconds |
./spec/controllers/account/meter_readings_controller_spec.rb[1:2:1]                | passed | 0.38838 seconds |
./spec/controllers/account/meter_readings_controller_spec.rb[1:3:1:1]              | passed | 0.32418 seconds |
./spec/controllers/account/meter_readings_controller_spec.rb[1:3:1:2]              | passed | 0.31812 seconds |
./spec/controllers/account/meter_readings_controller_spec.rb[1:3:2:1]              | passed | 0.41749 seconds |
./spec/controllers/account/payments_controller_spec.rb[1:1:1]                      | passed | 0.32032 seconds |
./spec/controllers/account/payments_controller_spec.rb[1:2:1]                      | passed | 0.36378 seconds |
./spec/controllers/account/payments_controller_spec.rb[1:3:1]                      | passed | 2.24 seconds    |
